PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Symbol,GICS Sector,GICS Sub-Industry,Cluster
2.825227247496839,0.8218051290602809,-0.7410146672549135,-1.1824279056760314,-1.4770939138053918,0.19922010025949022,1.7538154992230202,0.9683978420523223,-1.1982988418025207,0.22292732377322177,MMM,Industrials,Industrial Conglomerates,1
1.2342493723280827,0.45509790359526087,-0.0405716462568121,-0.7663063922642852,-2.182544509366034,0.6724524126057876,3.905448354737743,1.4177886572936298,0.2125353081816103,0.5062636358576358,AOS,Industrials,Building Products,1
1.0423737975567868,0.19581544060405004,-2.203457245529186,-0.8689432033449183,2.1408490965948053,-1.14280990502739,0.5102478619658384,-0.344322293344247,-0.4677760667535597,-0.24488754336721105,ABT,Health Care,Health Care Equipment,4
-1.9442126132865123,0.2766202359030632,-0.878061095421119,0.46530635308847335,-1.9672953056968796,-0.5806531571406102,0.6346611967199143,-0.6556530648495824,-0.776365011712427,0.029044378417491187,ACN,Information Technology,IT Consulting & Other Services,3
-2.823505274802987,0.5000189429592792,-0.6860515154187914,1.1896187111025904,-2.012169986312148,-1.302347559388729,-0.8102710665574802,-0.4559602657873077,-0.3004024585215143,0.1686248018576877,ADBE,Information Technology,Application Software,3
-3.068013822821028,0.32105797855314994,-0.7867705984673461,1.1987233418154668,-2.2328599132087175,-1.10514097816165,-0.7577047236142378,-0.5776163847448937,-0.3294796048297656,0.2176438849770359,AMD,Information Technology,Semiconductors,3
0.41320947658674806,0.8367880667079556,0.7092161787031004,-1.2001977528796373,-1.2955671487701894,-1.2374942075733333,-0.2475163677877983,0.4688980168218018,4.349261919786139,0.18269710542570006,AES,Utilities,Independent Power Producers & Energy Traders,0
1.4697216559119293,-2.2331338725729233,0.9019975644133189,2.4092016754687853,0.49055766766572995,0.02916604485783135,0.4677610319796028,-0.5713159477181731,0.20914532663877933,0.027765349725881953,AFL,Financials,Life & Health Insurance,7
-1.7047880136096496,0.21462759021992736,-2.1244800568212616,-0.409140753613203,2.1473122939621674,-1.1973044863591404,0.7473272374633473,-0.26105090455690927,-0.10389017344248799,0.013528108785425909,A,Health Care,Life Sciences Tools & Services,4
1.3693590520818955,0.9520190281384592,-2.1649557540917828,-0.991451262510166,-0.567511982568,4.104035374243535,-1.3916131264816154,-3.8928120987268486,-0.4264482453156742,0.0019517278037890988,APD,Materials,Industrial Gases,1
-2.2963107222238968,-1.3921652365856467,1.9334909552386197,-1.639065696946494,0.031813363964789725,-0.33642724687974934,-0.2668224086575308,-0.29334740870760195,-0.11300395323620042,-1.4859441532054976,ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2
-2.7987731521718646,0.282514792507685,-1.0615278234743706,0.5905073425585112,-1.1497325122264355,-0.9657948985541178,0.03538527144923679,0.08224043479664049,-0.5657285459610837,0.15937674418248346,AKAM,Information Technology,Internet Services & Infrastructure,3
0.28072643241331097,0.7976797465585872,-2.004080496690855,-1.212424545596227,-0.9331404349973442,4.646893571388987,-1.2208924138777357,-3.602680452555943,-0.2948594080656912,0.01659634232045918,ALB,Materials,Specialty Chemicals,1
-2.7096715474455335,0.24446713207076692,-0.18493948551796252,0.5299381325784454,1.2530499569265237,1.6297719635181833,-1.0899155315297717,3.11227310523894,1.297643867497214,0.29887965429604224,ARE,Real Estate,Office REITs,6
-1.996180035123953,0.3212495449806849,-2.3242080748483076,-0.33525254710099134,1.0537924334557638,-0.9702962892784209,0.872741290725712,-1.1617655629780526,-0.044171514505780315,0.2821885583108995,ALGN,Health Care,Health Care Supplies,4
0.8739391963992993,0.5170753747688903,-0.3609756152552516,-0.9806278252405499,-1.776040366916346,0.8102137857332992,3.6065917060471833,0.9280290982653137,-0.9671150524403951,-0.05920133441725176,ALLE,Industrials,Building Products,1
1.4894581594372012,0.5457292195416733,-0.08636150358192915,-0.8484104394420767,-1.790883420288961,-1.21093084172984,0.9298348394643289,0.001233115939796378,5.365361193757131,1.014272460830664,LNT,Utilities,Electric Utilities,0
1.4260834162400071,-2.0254913953509837,0.25766395608889525,2.1773351307432582,0.29824720017672013,0.389070364059537,-0.07547882591553892,-0.34316479151058094,-0.1764685652577496,0.31511561381547865,ALL,Financials,Property & Casualty Insurance,7
-1.883344169823887,0.165381353867047,-0.09711418743408988,0.4215335933471185,-0.2202588719406088,-0.40681258952553195,-0.1924367204789306,0.0946734000166826,0.14623212008779585,0.05747624610370513,GOOGL,Communication Services,Interactive Media & Services,3
-1.7543798786688936,0.21327486651726357,-0.1010884994128039,0.3967815390703266,-0.23587646058354286,-0.444893527494226,-0.23171974912146656,0.08661309902303312,0.15014398591808112,0.03617626504337311,GOOG,Communication Services,Interactive Media & Services,3
2.0074529082721195,0.5181173995006707,0.10990957287117281,-1.638874217819096,-1.095946288378455,-1.8376146829605187,-3.1228540692688203,2.362637404401704,-1.4171322513915032,-0.2986682746433261,MO,Consumer Staples,Tobacco,5
-1.5539053142216612,-1.3656653133718637,2.300976704189612,-2.1421357341294023,-0.3205999980848058,-0.2249032854944961,-0.20231699085864474,-0.053219222321256685,-0.8124125696842158,-1.8819726990154424,AMZN,Consumer Discretionary,Broadline Retail,2
1.8701354162650599,0.4866266707733174,-0.11378250045623783,-1.0977473168401348,-1.1392180378236576,-1.9693990299888773,-0.5607063353864968,-0.47392185182898383,5.2855968952446775,0.3543671288882371,AEE,Utilities,Multi-Utilities,0
